danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_artist
0.503,0.459,2,-14.029,1,0.0741,0.026,3.35e-05,0.0925,0.529,122.003,audio_features,3Gd2W0XPOcpQdMZ1fMQo0I,spotify:track:3Gd2W0XPOcpQdMZ1fMQo0I,https://api.spotify.com/v1/tracks/3Gd2W0XPOcpQdMZ1fMQo0I,https://api.spotify.com/v1/audio-analysis/3Gd2W0XPOcpQdMZ1fMQo0I,308799,4,Joyfell - Underground Springhouse
0.51,0.72,4,-5.136,0,0.0323,0.085,7.52e-06,0.869,0.164,75.057,audio_features,6hPG0aMcXhZxIUcfBB3boz,spotify:track:6hPG0aMcXhZxIUcfBB3boz,https://api.spotify.com/v1/tracks/6hPG0aMcXhZxIUcfBB3boz,https://api.spotify.com/v1/audio-analysis/6hPG0aMcXhZxIUcfBB3boz,210237,4,Thank God (feat. Nic Newsham & Kathleen Delano) - Strawberry Girls
0.58,0.468,2,-7.212,1,0.032,0.0141,0.0375,0.107,0.332,76.539,audio_features,1Y3C4SPejRXB6Rcuyp7WCk,spotify:track:1Y3C4SPejRXB6Rcuyp7WCk,https://api.spotify.com/v1/tracks/1Y3C4SPejRXB6Rcuyp7WCk,https://api.spotify.com/v1/audio-analysis/1Y3C4SPejRXB6Rcuyp7WCk,241520,4,Chairman Gou - James Supercave
0.872,0.719,7,-4.582,1,0.0431,0.326,2.57e-05,0.0304,0.788,124.029,audio_features,0a0eB2Wxm8iU3TbuAoovhp,spotify:track:0a0eB2Wxm8iU3TbuAoovhp,https://api.spotify.com/v1/tracks/0a0eB2Wxm8iU3TbuAoovhp,https://api.spotify.com/v1/audio-analysis/0a0eB2Wxm8iU3TbuAoovhp,289320,4,Bring It On - Spiritual Rez
0.726,0.708,0,-7.952,1,0.0434,0.0956,6.71e-05,0.123,0.764,98.02,audio_features,3OZAelFTDCaKGDY41jA0Cv,spotify:track:3OZAelFTDCaKGDY41jA0Cv,https://api.spotify.com/v1/tracks/3OZAelFTDCaKGDY41jA0Cv,https://api.spotify.com/v1/audio-analysis/3OZAelFTDCaKGDY41jA0Cv,263573,4,Once in Your Life - The Nick Hexum Quintet
0.423,0.563,3,-5.904,1,0.0416,0.0985,4.2e-06,0.173,0.456,151.11,audio_features,3qyVFxzBmV0TrdCfRmbfR3,spotify:track:3qyVFxzBmV0TrdCfRmbfR3,https://api.spotify.com/v1/tracks/3qyVFxzBmV0TrdCfRmbfR3,https://api.spotify.com/v1/audio-analysis/3qyVFxzBmV0TrdCfRmbfR3,220613,4,Black Gold - Houndmouth
0.657,0.647,0,-6.636,1,0.024,0.0153,7.07e-06,0.097,0.855,96.947,audio_features,2Kt1kiEetBh1MLmUjOBIck,spotify:track:2Kt1kiEetBh1MLmUjOBIck,https://api.spotify.com/v1/tracks/2Kt1kiEetBh1MLmUjOBIck,https://api.spotify.com/v1/audio-analysis/2Kt1kiEetBh1MLmUjOBIck,285227,4,Calypso - Billy
0.48,0.675,5,-6.099,0,0.0682,0.000237,0.000637,0.346,0.359,71.582,audio_features,6pyBf22Jn01DqjFLq5mKOs,spotify:track:6pyBf22Jn01DqjFLq5mKOs,https://api.spotify.com/v1/tracks/6pyBf22Jn01DqjFLq5mKOs,https://api.spotify.com/v1/audio-analysis/6pyBf22Jn01DqjFLq5mKOs,243573,4,Deadcrush (feat. Danny Brown) - Alchemist x Trooko Version - alt-J
0.221,0.662,7,-7.314,1,0.0519,0.252,0.000149,0.266,0.539,199.924,audio_features,26XfDH9AoT6dVpmKVJHBMf,spotify:track:26XfDH9AoT6dVpmKVJHBMf,https://api.spotify.com/v1/tracks/26XfDH9AoT6dVpmKVJHBMf,https://api.spotify.com/v1/audio-analysis/26XfDH9AoT6dVpmKVJHBMf,227280,3,Wavy Gravy - Okey Dokey
0.617,0.892,1,-3.143,0,0.0489,0.0169,0.000202,0.224,0.596,115.082,audio_features,0ecM7uGyjgJnBliXS2fPP9,spotify:track:0ecM7uGyjgJnBliXS2fPP9,https://api.spotify.com/v1/tracks/0ecM7uGyjgJnBliXS2fPP9,https://api.spotify.com/v1/audio-analysis/0ecM7uGyjgJnBliXS2fPP9,208053,4,Morocco - Moon Taxi
0.707,0.42,1,-10.722,1,0.0593,0.606,0.00832,0.163,0.327,138.731,audio_features,26E3iDxALicrZz7BBAzCPD,spotify:track:26E3iDxALicrZz7BBAzCPD,https://api.spotify.com/v1/tracks/26E3iDxALicrZz7BBAzCPD,https://api.spotify.com/v1/audio-analysis/26E3iDxALicrZz7BBAzCPD,221440,4,Honey Bee - G. Love & Special Sauce
0.621,0.922,6,-2.872,1,0.0525,0.0535,7.42e-06,0.151,0.913,99.999,audio_features,4C3y57qIj3vMFxh0fRnEPj,spotify:track:4C3y57qIj3vMFxh0fRnEPj,https://api.spotify.com/v1/tracks/4C3y57qIj3vMFxh0fRnEPj,https://api.spotify.com/v1/audio-analysis/4C3y57qIj3vMFxh0fRnEPj,192747,4,Trouble - Grapetooth
0.68,0.466,9,-8.371,1,0.0355,0.526,1.17e-06,0.0741,0.534,120.288,audio_features,0bOD1Blu3JEcTc32VDmAGi,spotify:track:0bOD1Blu3JEcTc32VDmAGi,https://api.spotify.com/v1/tracks/0bOD1Blu3JEcTc32VDmAGi,https://api.spotify.com/v1/audio-analysis/0bOD1Blu3JEcTc32VDmAGi,126669,4,Pass That Doobie - The Sloppy Boys
