endTime,artistName,trackName,msPlayed
2019-11-01 19:46:00-04:00,Jon Bellion,Blu - Acoustic,48052
2019-11-01 20:36:00-04:00,"Tyler, The Creator",IGOR'S THEME,200693
2019-11-01 20:39:00-04:00,"Tyler, The Creator",EARFQUAKE,190066
2019-11-01 20:42:00-04:00,"Tyler, The Creator",I THINK,212013
2019-11-01 20:43:00-04:00,"Tyler, The Creator",EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,14626
2019-11-01 20:45:00-04:00,"Tyler, The Creator",RUNNING OUT OF TIME,177226
2019-11-01 20:49:00-04:00,"Tyler, The Creator",NEW MAGIC WAND,195320
2019-11-01 20:52:00-04:00,"Tyler, The Creator",A BOY IS A GUN*,210253
2019-11-01 20:55:00-04:00,"Tyler, The Creator",PUPPET,179013
2019-11-01 20:59:00-04:00,"Tyler, The Creator",WHAT'S GOOD,205626
2019-11-01 21:11:00-04:00,"Tyler, The Creator","GONE, GONE / THANK YOU",375386
2019-11-01 21:14:00-04:00,"Tyler, The Creator",ARE WE STILL FRIENDS?,783
2019-11-01 21:14:00-04:00,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,161200
2019-11-01 22:29:00-04:00,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,159250
2019-11-01 22:33:00-04:00,"Tyler, The Creator",ARE WE STILL FRIENDS?,265480
2019-11-02 07:06:00-04:00,"Tyler, The Creator",Glitter,170650
2019-11-02 07:10:00-04:00,Sure Sure,This Must Be The Place,219260
2019-11-02 07:13:00-04:00,Sturgill Simpson,Sing Along,174568
2019-11-02 07:18:00-04:00,Pigeons Playing Ping Pong,F.U.,281000
2019-11-02 07:21:00-04:00,Magic City Hippies,Franny,195253
2019-11-02 07:24:00-04:00,Coast Modern,Guru,204066
2019-11-02 07:27:00-04:00,The Dip,Slow Sipper,180386
2019-11-02 07:31:00-04:00,Samm Henshaw,Broke,207722
2019-11-02 07:34:00-04:00,Galactic,Going Straight Crazy (feat. Princess Shaw),207989
2019-11-02 07:38:00-04:00,Briston Maroney,Freakin' Out On the Interstate,251906
2019-11-02 07:43:00-04:00,The Revivalists,Wish I Knew You,274093
2019-11-02 07:47:00-04:00,Max Frost,Adderall,218025
2019-11-02 07:51:00-04:00,Dr. Dog,Where'd All the Time Go?,234800
2019-11-02 07:53:00-04:00,Your Smith,The Spot,171382
2019-11-02 07:57:00-04:00,Abhi The Nomad,Floors,210340
2019-11-02 08:00:00-04:00,Bay Ledges,Straight Jacket,205065
2019-11-02 08:04:00-04:00,The Revivalists,Change,229453
2019-11-02 08:07:00-04:00,Mt. Joy,Astrovan,186133
2019-11-02 08:11:00-04:00,Rainbow Kitten Surprise,Cocaine Jesus,229666
2019-11-02 08:22:00-04:00,Bryce Vine,Sunflower Seeds,228610
2019-11-02 08:30:00-04:00,Michigan Rattlers,Strain of Cancer,127172
2019-11-02 08:46:00-04:00,Sure Sure,This Must Be The Place,82988
2019-11-02 08:46:00-04:00,Dr. Dog,Heart It Races - Cover Version,10495
2019-11-02 08:47:00-04:00,Netherfriends,Uptown Boys,1230
2019-11-02 08:47:00-04:00,The Polarity,Son of a Beach,2693
2019-11-02 08:47:00-04:00,Sure Sure,Friends,6524
2019-11-02 08:47:00-04:00,Miya Folick,Deadbody,3506
2019-11-02 08:47:00-04:00,Des Rocs,Outta My Mind,4388
2019-11-02 08:47:00-04:00,The Wood Brothers,Luckiest Man,3691
2019-11-02 08:47:00-04:00,Fruit Bats,Humbug Mountain Song,3854
2019-11-02 08:55:00-04:00,Coast Modern,Pockets Full Of No,214870
2019-11-02 09:00:00-04:00,Dr. Dog,Where'd All the Time Go?,1045
2019-11-02 09:00:00-04:00,Magic City Hippies,Four of a Kind,11754
2019-11-02 09:00:00-04:00,Pigeons Playing Ping Pong,Julia,2688
2019-11-02 09:00:00-04:00,Dream Owner,Break My Pride,207015
2019-11-02 09:00:00-04:00,Briston Maroney,Freakin' Out On the Interstate,917
2019-11-02 09:00:00-04:00,Mt. Joy,Silver Lining,746
2019-11-02 09:00:00-04:00,Robby Hunter Band,Never Say No,917
2019-11-02 09:00:00-04:00,Your Smith,Debbie,3456
2019-11-02 09:00:00-04:00,Dustbowl Revival,Good Egg,1045
2019-11-02 09:00:00-04:00,Black Pistol Fire,Level,1941
2019-11-02 09:00:00-04:00,Henry Jamison,True North,3136
